"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Tests\Unit\DesignPatterns\Singleton\SupermanTest::testFlyMethodWorks","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Singleton\SupermanTest","testFlyMethodWorks"
"","1","Tests\Unit\DesignPatterns\Iterator\Collections\FileStringCollectionTest::testIteratorCanTraverseFileContent","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Iterator\Collections\FileStringCollectionTest","testIteratorCanTraverseFileContent"
"","1","Tests\Unit\DesignPatterns\Visitor\Reports\AverageSalaryReportTest::testAverageSalary","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Visitor\Reports\AverageSalaryReportTest","testAverageSalary"
"","0","Tests\Unit\DesignPatterns\Facade\PersonIQServiceTest::testTransferIq","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Facade\PersonIQServiceTest","testTransferIq"
"","0","Tests\Unit\DesignPatterns\Facade\PersonIQServiceTest::testTransferIqIfOnePersonNotFound","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Facade\PersonIQServiceTest","testTransferIqIfOnePersonNotFound"
"","2","Tests\Unit\DesignPatterns\AbstractFactory\PersonControllerTest::testSaveAndReadPeople","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\AbstractFactory\PersonControllerTest","testSaveAndReadPeople"
"","1","Tests\Unit\DesignPatterns\Iterator\Collections\FileStringCollectionTest::testCollectionInitializesWithFilePath","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Iterator\Collections\FileStringCollectionTest","testCollectionInitializesWithFilePath"
"","14","Tests\Unit\DesignPatterns\AbstractFactory\PersonControllerTest::testSaveAndReadPeople","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\AbstractFactory\PersonControllerTest","testSaveAndReadPeople"
"","0","Tests\Unit\DesignPatterns\Observer\TextScannerTest::testWordsReverse","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Observer\TextScannerTest","testWordsReverse"
"","0","Tests\Unit\DesignPatterns\Proxy\CachedPersonRepositoryTest::testCacheInvalidatesOnSavePerson","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Proxy\CachedPersonRepositoryTest","testCacheInvalidatesOnSavePerson"
"","0","Tests\Unit\DesignPatterns\Strategy\EmployeeCollectionTest::test_collection_can_be_sorted","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Strategy\EmployeeCollectionTest","test_collection_can_be_sorted"
"","6","Tests\Unit\DesignPatterns\AbstractFactory\PersonControllerTest::testSaveAndReadPerson","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\AbstractFactory\PersonControllerTest","testSaveAndReadPerson"
"","0","Tests\Unit\DesignPatterns\Proxy\CachedPersonRepositoryTest::testReadPeopleUsesCache","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Proxy\CachedPersonRepositoryTest","testReadPeopleUsesCache"
"","0","Tests\Unit\DesignPatterns\Iterator\Collections\InMemoryStringCollectionTest::testIteratorCanTraverseCollection","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Iterator\Collections\InMemoryStringCollectionTest","testIteratorCanTraverseCollection"
"","3","Tests\Feature\PersonControllerTest::testFindPersonReturns404IfPersonNotFound","","Fri Nov 22 12:31:41 EET 2024","broken","Fri Nov 22 12:31:41 EET 2024","","","Tests\Feature\PersonControllerTest","testFindPersonReturns404IfPersonNotFound"
"","0","Tests\Unit\DesignPatterns\Proxy\CachedPersonRepositoryTest::testCacheInvalidatesOnUpdatePersonIQ","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Proxy\CachedPersonRepositoryTest","testCacheInvalidatesOnUpdatePersonIQ"
"","0","Tests\Unit\DesignPatterns\Visitor\Reports\TotalSalaryReportTest::testTotalSalary","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Visitor\Reports\TotalSalaryReportTest","testTotalSalary"
"","0","Tests\Unit\DesignPatterns\Visitor\Reports\NumberOfEmployeePerDepartmentReportTest::testTotalSalary","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Visitor\Reports\NumberOfEmployeePerDepartmentReportTest","testTotalSalary"
"","3","Tests\Feature\PersonControllerTest::testGetPeopleReturnsPeople","","Fri Nov 22 12:31:41 EET 2024","broken","Fri Nov 22 12:31:41 EET 2024","","","Tests\Feature\PersonControllerTest","testGetPeopleReturnsPeople"
"","0","Tests\Unit\DesignPatterns\Observer\TextScannerTest::testLongestWordKeeper","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Observer\TextScannerTest","testLongestWordKeeper"
"","3","Tests\Unit\DesignPatterns\AbstractFactory\PersonControllerTest::testSaveAndReadPerson","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\AbstractFactory\PersonControllerTest","testSaveAndReadPerson"
"","0","Tests\Unit\DesignPatterns\Strategy\EmployeeCollectionTest::test_collection_can_be_sorted","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Strategy\EmployeeCollectionTest","test_collection_can_be_sorted"
"","0","Tests\Unit\DesignPatterns\Visitor\Reports\TotalNumberOfEmployeesReportTest::testTotalSalary","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Visitor\Reports\TotalNumberOfEmployeesReportTest","testTotalSalary"
"","1","Tests\Unit\DesignPatterns\Singleton\SupermanTest::testSingletonReturnsSameInstance","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Singleton\SupermanTest","testSingletonReturnsSameInstance"
"","0","Tests\Unit\DesignPatterns\Iterator\Collections\InMemoryStringCollectionTest::testCollectionInitializesWithStrings","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Iterator\Collections\InMemoryStringCollectionTest","testCollectionInitializesWithStrings"
"","2","Tests\Unit\DesignPatterns\Composite\DirectoryTest::testAdd","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Composite\DirectoryTest","testAdd"
"","0","Tests\Unit\DesignPatterns\Observer\TextScannerTest::testWordCounter","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Observer\TextScannerTest","testWordCounter"
"","0","Tests\Unit\DesignPatterns\Visitor\Reports\TotalSalaryReportTest::testTotalSalary","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Visitor\Reports\TotalSalaryReportTest","testTotalSalary"
"","1","Tests\Unit\DesignPatterns\Facade\PersonIQServiceTest::testTransferIqWithInsufficientIqPoints","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Facade\PersonIQServiceTest","testTransferIqWithInsufficientIqPoints"
"","0","Tests\Unit\DesignPatterns\Observer\TextScannerTest::testNumberCounter","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Observer\TextScannerTest","testNumberCounter"
"","8","Tests\Feature\PersonControllerTest::testFindPersonReturnsPerson","","Fri Nov 22 12:31:41 EET 2024","broken","Fri Nov 22 12:31:41 EET 2024","","","Tests\Feature\PersonControllerTest","testFindPersonReturnsPerson"
"","0","Tests\Unit\DesignPatterns\Observer\TextScannerTest::testLongestWordKeeper","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Observer\TextScannerTest","testLongestWordKeeper"
"","0","Tests\Unit\DesignPatterns\Visitor\Reports\NumberOfEmployeePerDepartmentReportTest::testTotalSalary","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Visitor\Reports\NumberOfEmployeePerDepartmentReportTest","testTotalSalary"
"","0","Tests\Unit\DesignPatterns\Visitor\Reports\AverageSalaryReportTest::testAverageSalary","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Visitor\Reports\AverageSalaryReportTest","testAverageSalary"
"","0","Tests\Unit\DesignPatterns\Composite\DirectoryTest::testGetSize","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Composite\DirectoryTest","testGetSize"
"","1","Tests\Unit\DesignPatterns\Adapter\IntegerStackASCIIAdapterTest::test_push_and_pop_works_correctly","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Adapter\IntegerStackASCIIAdapterTest","test_push_and_pop_works_correctly"
"","0","Tests\Unit\DesignPatterns\Singleton\SupermanTest::testCannotUnserializeSingleton","","Fri Nov 22 12:31:41 EET 2024","passed","Fri Nov 22 12:31:41 EET 2024","","","Tests\Unit\DesignPatterns\Singleton\SupermanTest","testCannotUnserializeSingleton"
